timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length,suspicious,suspicious_reason
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,66,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,65,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,73,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,162,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,74,False,
2026-07-18 00:27:16,103.66.180.185,192.168.18.71,9076,53300,TCP,54,False,
2026-07-18 00:27:16,103.66.180.185,192.168.18.71,9076,53300,TCP,54,False,
2026-07-18 00:27:16,192.168.18.71,103.66.180.185,53300,9076,TCP,54,False,
2026-07-18 00:27:16,192.168.18.71,103.66.180.185,53300,9076,TCP,54,False,
2026-07-18 00:27:16,192.168.18.71,103.66.180.185,53301,9076,TCP,66,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,726,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,222,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,77,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,447,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,125,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,77,False,
2026-07-18 00:27:16,103.66.180.185,192.168.18.71,9076,53301,TCP,66,False,
2026-07-18 00:27:16,192.168.18.71,103.66.180.185,53301,9076,TCP,54,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,65,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,52823,443,UDP,168,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,66,False,
2026-07-18 00:27:16,103.66.180.185,192.168.18.71,9076,53300,TCP,54,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,52823,UDP,70,False,
2026-07-18 00:27:16,103.66.180.185,192.168.18.71,9076,53301,TCP,55,False,
2026-07-18 00:27:16,192.168.18.71,103.66.180.185,53301,9076,TCP,102,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,52823,443,UDP,74,False,
2026-07-18 00:27:16,103.66.180.185,192.168.18.71,9076,53301,TCP,54,False,
2026-07-18 00:27:16,103.66.180.185,192.168.18.71,9076,53301,TCP,54,False,
2026-07-18 00:27:16,192.168.18.71,103.66.180.185,53301,9076,TCP,54,False,
2026-07-18 00:27:16,192.168.18.71,103.66.180.185,53301,9076,TCP,54,False,
2026-07-18 00:27:16,192.168.18.71,103.66.180.185,53302,9076,TCP,66,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,52823,UDP,83,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,52823,UDP,63,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,52823,443,UDP,77,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,1292,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,547,False,
2026-07-18 00:27:16,192.168.18.71,103.66.180.185,137,137,UDP,92,False,
2026-07-18 00:27:16,192.168.18.71,103.66.180.185,137,137,UDP,92,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,69,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,52823,UDP,66,False,
2026-07-18 00:27:16,103.66.180.185,192.168.18.71,9076,53301,TCP,54,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,74,False,
2026-07-18 00:27:17,103.66.180.185,192.168.18.71,9076,53302,TCP,66,False,
2026-07-18 00:27:17,192.168.18.71,103.66.180.185,53302,9076,TCP,54,False,
2026-07-18 00:27:17,142.250.202.106,192.168.18.71,443,51202,UDP,500,False,
2026-07-18 00:27:17,142.250.202.106,192.168.18.71,443,51202,UDP,211,False,
